Frame,Maximum diameter of the drop (d_e),Diameter at the lowest end (d_s),Surface_Tension
315,0.0015449604785458934,0.000988009292362887,24.8423811866794
316,0.0015659040727787523,0.0010109726683846547,24.923186727637678
317,0.0015390368788742285,0.0009897504676749946,24.310745193640727
318,0.0015525694635764667,0.001000180788407304,24.633882064514935
319,0.001560666360540078,0.001000180788407304,25.215982814344297
320,0.0015482612396881122,0.0009897504676749946,24.97185393345534
321,0.0015572303234597678,0.001000180788407304,24.96766873012844
322,0.001553388670447159,0.0009887534888597172,25.40901211239528
323,0.0015584034699036866,0.001000180788407304,25.05223450209982
324,0.0015645379870023084,0.0009882006248939442,26.274741901598777
325,0.001578691859595713,0.0009991105203669642,26.62114116266447
326,0.0015562431464463788,0.0009786648627175835,26.281992222189377
327,0.0015765755412634622,0.000988009292362887,27.207810510054568
328,0.0015875694806477497,0.001000180788407304,27.227244864456743
329,0.001575015861863104,0.0010007476950936057,26.23676392355987
330,0.0015633565346173143,0.0009780978311726082,26.864442121492587
331,0.0016054073399808706,0.0009991105203669642,28.70444972496442
332,0.0015832765958766859,0.0009889655848523038,27.664194843027406
333,0.0015712225291037705,0.0009786648627175835,27.437073463329117
334,0.0015886805572049236,0.000989538916747779,28.050173499978822
335,0.0015832765958766859,0.0010113962460246554,26.16164450207482
336,0.0015694953927947925,0.0009882546222846414,26.647000452055966
337,0.0015819625575062774,0.00102316642765461,25.324091363107247
338,0.0015946590898552188,0.0010119568697374774,26.9795340668771
339,0.0015869342304925124,0.0010007476950936057,27.140041684358813
340,0.0016030544760796824,0.0010007476950936057,28.400023896164875
341,0.0015866433073276484,0.0009773412773676372,28.763789940345728
342,0.0015776433795069071,0.001000836464575527,26.428024031400223
343,0.0015998670556187256,0.000988009292362887,29.05968496739774
344,0.0016069416263126352,0.0009767188531338343,30.501654361012076
345,0.0015854384928260597,0.0009660494887911272,29.50743966802105
346,0.001633106659673044,0.001011418774793903,30.0653514385103
347,0.001640861937462258,0.0010227602487889774,29.870725823076206
348,0.0016542780253839128,0.0010006573315426979,32.71528756111375
349,0.0016242604934834102,0.0009882006248939442,31.08771651592822
350,0.0016320316267954876,0.0009786648627175835,32.53732202759747
351,0.0015891665657564694,0.0009786648627175835,28.872289042737677
352,0.001593350221326062,0.0009780978311726082,29.25733382542388
353,0.0016337384732761878,0.0010113962460246554,30.119283229377103
354,0.00166707298984337,0.000989538916747779,34.82230594584949
355,0.0016353962890524232,0.000989538916747779,31.948363046242072
356,0.0016353962890524232,0.000989538916747779,31.948363046242072
357,0.001637129414837745,0.001000180788407304,31.256936498044098
358,0.0016427782169088072,0.001000180788407304,31.74410656715036
359,0.0016390145120167012,0.0010119568697374774,30.5163476052032
360,0.00167133049147734,0.0009991105203669642,34.389144313450245
361,0.0016577856028731448,0.0009889655848523038,34.0087282077402
362,0.0016376120118235706,0.0009891897907324985,32.17142993695652
363,0.0016451229993229791,0.0009897504676749946,32.79297673321682
364,0.0016613915606028653,0.000999626390038806,33.43740370380363
365,0.0016446185216870178,0.000989538916747779,32.7652849970304
366,0.0016648790238497323,0.0010109599904217625,32.81933921474704
367,0.001677949343232497,0.0010459985626358923,31.227252963592363
368,0.0016588876392928827,0.0009997396387359362,33.202360729045864
369,0.001677949343232497,0.0010573348085394694,30.40023847890955
370,0.0016781875608107616,0.001000180788407304,34.933936175415845
371,0.001672168487176737,0.001033827890371953,31.656318086984886
372,0.0016940029827432377,0.0010223190914377374,34.5035266274919
373,0.0016832494126841685,0.001000180788407304,35.409543306114955
374,0.001702540880162991,0.0010459985626358923,33.33532999831627
375,0.001675180727379424,0.0009879455066181312,35.732295480535846
376,0.001675180727379424,0.00102316642765461,32.747625973405626
377,0.0017048256448699832,0.0010119568697374774,36.416554219875245
378,0.001687773430548316,0.0009767833719999176,38.01474014385273
379,0.001687773430548316,0.0009882006248939442,36.93051203587284
380,0.0016849333173696043,0.0010343763563843826,32.712663093893
381,0.0016989009505128069,0.000988009292362887,38.054743352293684
382,0.001681735174207413,0.0009773412773676372,37.35473772978645
383,0.0016775147277230378,0.0009776565792687223,36.90600984071354
384,0.0017292435839895562,0.0010006573315426979,39.91836914872108
385,0.0017147771492207386,0.0010343763563843826,35.395822964291646
386,0.0017014955427638568,0.0010226119493451013,35.16895686460029
387,0.0016997168205672853,0.0009767188531338343,39.24404380962716
388,0.001701268007969874,0.0009776565792687223,39.31106412817339
389,0.0017011230711824268,0.0009884417267555273,38.237056801544426
390,0.0017117609576445456,0.0010450440614516551,34.2313170681584
391,0.0017105184183257138,0.0009884417267555273,39.194454737796825
392,0.001748621107488448,0.0009889655848523038,43.212740063494245
393,0.0017308718268001396,0.000988009292362887,41.377443321595095
394,0.001731854583970253,0.0009767188531338343,42.687353815741815
395,0.0017312358759842682,0.0010226119493451013,38.014445211231525
396,0.0017128232149156348,0.001045184122167945,34.31534740616581
397,0.0017472150140621855,0.0009655574686845722,45.70321599485637
398,0.0017099417337736666,0.0009770889625893605,40.27720610477579
399,0.001735344324297227,0.001033827890371953,37.39165237385664
400,0.001744947353305754,0.0009549469470506759,46.70501427582788
401,0.0017382108347374495,0.0009879455066181312,42.17781137830683
402,0.0017515378486287702,0.001045586644000142,37.90149838271029
403,0.0017658615858109736,0.0009991105203669642,44.02576168506086
404,0.001757571954976464,0.0009767188531338343,45.60818867270472
405,0.0017415173911612108,0.0010220450483539117,39.09261034230092
406,0.0017658615858109736,0.0009876932222701695,45.30390207390298
407,0.0017583964414017357,0.0009767188531338343,45.704331095608566
408,0.001739073403584134,0.0009660494887911272,44.69800713481324
409,0.0017642999386809507,0.0009992352291989153,43.83758989734529
410,0.0017574285265483667,0.001033827890371953,39.576172544625834
411,0.0017813625102400452,0.000988009292362887,47.07952520500284
412,0.0017719628634787327,0.0010343763563843826,41.012922934047786
413,0.0017587405055347525,0.0009998505399775673,43.1545646615145
414,0.001795393575558817,0.0009877584660673323,48.79841134037544
415,0.0017559343760959857,0.0009549469470506759,48.04000421924775
416,0.0017973307802121004,0.0010573348085394694,41.39041183958979
417,0.0017938854145259705,0.0009876932222701695,48.62262572958974
418,0.0017638712596581782,0.0010328521205553189,40.3264971857656
419,0.0017894613452741034,0.001033665654432752,42.93643502160745
420,0.0017755512389514005,0.0010450440614516551,40.3431799206028
421,0.0017760835476881996,0.0009767188531338343,47.80502717671618
422,0.0017798052511318846,0.001021872176919359,43.120536459190674
423,0.0017867669597355323,0.0010562604552555835,40.411433987423976
424,0.0018005046314989134,0.0010343763563843826,44.063566662381625
425,0.0017789198374983676,0.001021872176919359,43.024302755865264
426,0.0017781048675572313,0.0010221804804946104,42.90363467947896
427,0.0017853556112058732,0.001033827890371953,42.47927498393892
428,0.0017743380810199274,0.0010224671443239096,42.46739101001325
429,0.0018309352966220532,0.0010346626796507291,47.47467030778367
430,0.001778224764047484,0.0009660494887911272,49.3970264562712
431,0.001755197023722459,0.0010106428123378276,41.63744718463477
432,0.0018076306671259367,0.000988519430149486,50.21327601076722
433,0.0017929636951513814,0.001045586644000142,42.095795656414346
434,0.0017817869810586768,0.0010221804804946104,43.30399353378303
435,0.001778224764047484,0.0009998505399775673,45.343066489205434
436,0.0018272711675100634,0.0010346626796507291,47.049572055975524
437,0.0017952117501933052,0.0010562604552555835,41.276108450224626
438,0.0018021838807333033,0.001045586644000142,43.07652579758156
439,0.0018266715244225473,0.0009763404266118918,54.28220308148249
440,0.0017871113616307213,0.0010340966808792614,42.63955660141085
441,0.0017888696003862106,0.0010224671443239096,44.051485089391896
442,0.0017743380810199274,0.0009887534888597172,46.165048772246564
443,0.0018052584473806288,0.0010221804804946104,45.92480632797191
444,0.0018186485628055968,0.0009769769030334844,53.13360883369945
445,0.0017659806702788026,0.001067359992848665,37.35785033352859
446,0.0018165892097272538,0.001033665654432752,45.937301270113714
447,0.00182166074753522,0.001045586644000142,45.206593574426876
448,0.0017766988668630821,0.0009995422391037901,45.20332512937306
449,0.0018192721826233366,0.0010109599904217625,48.87223172385362
450,0.001792587236724484,0.0009549469470506759,52.70931850624906
451,0.0017890074283855206,0.0010230095832373014,44.00856843002461
452,0.0018117050105642385,0.001033827890371953,45.36760520736748
453,0.0018163948197859384,0.001033827890371953,45.89729479568173
454,0.001814311956758761,0.0010328521205553189,45.76894521233169
455,0.0018187178644561053,0.00102316642765461,47.368461186295356
456,0.0018546799275193234,0.0010346626796507291,50.30230474998691
457,0.0018133738878757127,0.0009767188531338343,52.4796800391062
459,0.001814311956758761,0.001044621857964008,44.495665324791915
460,0.0018117050105642385,0.0010104611819589699,48.02507967412951
461,0.001821383973005946,0.0009879455066181312,52.0267636285258
463,0.001818059392118724,0.001021872176919359,47.44079105249245
464,0.0018340723727691087,0.001033827890371953,47.93723618103003
465,0.0018103131042350956,0.0010562604552555835,42.85815025304822
466,0.0018278353577720638,0.0010560541141412998,44.774223834986024
467,0.001829068917248822,0.001112805640099267,39.4219482569518
469,0.0018013687645113752,0.0010335600607763622,44.24549243287772
470,0.0018153189722864246,0.0011114953937693063,38.22062744873242
471,0.001807483628229702,0.0010335600607763622,44.92387035310586
472,0.0018287043445553732,0.0010221804804946104,48.6642227072947
473,0.0018476288634202685,0.0009997396387359362,53.86304946274925
474,0.0018229057128812257,0.0010450440614516551,45.404123927605916
475,0.0018273252495365293,0.001011374455396254,49.800251116808845
476,0.0018293144232677317,0.0010224671443239096,48.70314356759507
477,0.0018363434828433957,0.0010340966808792614,48.1731468014995
478,0.001831183851415407,0.001033401104446733,47.648146792396766
479,0.001831183851415407,0.0010104611819589699,50.387375600919775
480,0.0018287043445553732,0.001033401104446733,47.35914568607281
